"No.","Time","Source","Destination","Protocol","Length","Info"
"95","0.079859","10.133.147.141","a23-35-204-54.deploy.static.akamaitechnologies.com","TCP","40","50511  >  https(443) [RST] Seq=410 Win=0 Len=0"
"96","0.080497","N/A","N/A","N/A","42","Raw packet data"
"97","0.081027","N/A","N/A","N/A","42","Raw packet data"
"98","0.082714","10.133.147.141","a104-70-164-11.deploy.static.akamaitechnologies.com","TCP","40","50444  >  https(443) [RST, ACK] Seq=1 Ack=1 Win=16384 Len=0"
"99","0.083372","10.133.147.141","a23-10-240-8.deploy.static.akamaitechnologies.com","TCP","40","50443  >  https(443) [RST, ACK] Seq=1 Ack=1 Win=32768 Len=0"
"100","0.083901","10.133.147.141","ord38s29-in-f19.1e100.net","TCP","40","50422  >  https(443) [RST, ACK] Seq=1 Ack=1 Win=16384 Len=0"
"101","1.088080","N/A","N/A","N/A","42","Raw packet data"
"102","1.090790","N/A","N/A","N/A","42","Raw packet data"
"103","1.091455","N/A","N/A","N/A","42","Raw packet data"
"104","1.091990","N/A","N/A","N/A","42","Raw packet data"
"105","1.094671","N/A","N/A","N/A","42","Raw packet data"
"106","1.095459","N/A","N/A","N/A","42","Raw packet data"
"107","1.096407","N/A","N/A","N/A","42","Raw packet data"
"108","1.096978","N/A","N/A","N/A","42","Raw packet data"
"109","1.097887","N/A","N/A","N/A","42","Raw packet data"
"110","1.098502","10.133.147.141","151.101.150.73","TCP","40","50441  >  https(443) [RST, ACK] Seq=1 Ack=1 Win=16384 Len=0"
"111","1.099264","N/A","N/A","N/A","42","Raw packet data"
"112","1.099848","N/A","N/A","N/A","498","Raw packet data"
"113","1.100384","N/A","N/A","N/A","498","Raw packet data"
"114","1.101185","N/A","N/A","N/A","498","Raw packet data"
"115","1.102052","N/A","N/A","N/A","498","Raw packet data"
"116","1.102747","N/A","N/A","N/A","498","Raw packet data"
"117","1.104385","N/A","N/A","N/A","498","Raw packet data"
"118","1.105053","N/A","N/A","N/A","498","Raw packet data"
"119","1.105496","N/A","N/A","N/A","498","Raw packet data"
"120","1.106022","N/A","N/A","N/A","498","Raw packet data"
"121","1.106609","N/A","N/A","N/A","498","Raw packet data"
"122","1.107158","N/A","N/A","N/A","498","Raw packet data"
"123","1.107740","N/A","N/A","N/A","498","Raw packet data"
"124","1.108367","N/A","N/A","N/A","498","Raw packet data"
"125","1.108951","N/A","N/A","N/A","498","Raw packet data"
"126","1.109524","N/A","N/A","N/A","498","Raw packet data"
"127","1.110120","N/A","N/A","N/A","498","Raw packet data"
"128","1.111859","N/A","N/A","N/A","498","Raw packet data"
"129","1.112451","N/A","N/A","N/A","498","Raw packet data"
"130","1.113066","N/A","N/A","N/A","498","Raw packet data"
"131","1.113614","N/A","N/A","N/A","498","Raw packet data"
"132","1.114153","N/A","N/A","N/A","498","Raw packet data"
"133","1.114796","N/A","N/A","N/A","498","Raw packet data"
"134","1.116493","N/A","N/A","N/A","498","Raw packet data"
"135","1.117196","N/A","N/A","N/A","498","Raw packet data"
"136","1.117546","N/A","N/A","N/A","498","Raw packet data"
"137","1.118074","N/A","N/A","N/A","498","Raw packet data"
"138","1.118584","N/A","N/A","N/A","498","Raw packet data"
"139","1.119217","N/A","N/A","N/A","498","Raw packet data"
"140","1.119968","N/A","N/A","N/A","498","Raw packet data"
"141","1.121705","N/A","N/A","N/A","498","Raw packet data"
"142","1.122216","N/A","N/A","N/A","498","Raw packet data"
"143","1.123252","N/A","N/A","N/A","498","Raw packet data"
"144","1.123751","N/A","N/A","N/A","498","Raw packet data"
"145","1.124359","N/A","N/A","N/A","498","Raw packet data"
"146","1.125064","N/A","N/A","N/A","498","Raw packet data"
"147","1.125505","N/A","N/A","N/A","498","Raw packet data"
"148","1.126068","N/A","N/A","N/A","498","Raw packet data"
"149","1.126602","N/A","N/A","N/A","498","Raw packet data"
"150","1.127238","N/A","N/A","N/A","42","Raw packet data"
"151","1.127771","N/A","N/A","N/A","498","Raw packet data"
"152","1.128207","N/A","N/A","N/A","498","Raw packet data"
"153","1.130783","N/A","N/A","N/A","498","Raw packet data"
"154","1.131209","N/A","N/A","N/A","498","Raw packet data"
"155","1.131832","N/A","N/A","N/A","498","Raw packet data"
"156","1.132396","N/A","N/A","N/A","498","Raw packet data"
"157","1.133128","N/A","N/A","N/A","498","Raw packet data"
"158","1.133813","N/A","N/A","N/A","498","Raw packet data"
"159","1.134468","N/A","N/A","N/A","498","Raw packet data"
"160","1.135094","N/A","N/A","N/A","498","Raw packet data"
"161","1.135643","N/A","N/A","N/A","498","Raw packet data"
"162","1.136515","N/A","N/A","N/A","42","Raw packet data"
"163","1.137056","N/A","N/A","N/A","42","Raw packet data"
"164","1.137573","N/A","N/A","N/A","42","Raw packet data"
"165","1.138149","10.133.147.141","server-13-224-7-79.sea19.r.cloudfront.net","TCP","40","50426  >  https(443) [FIN, ACK] Seq=1 Ack=1 Win=16384 Len=0"
"166","1.139617","N/A","N/A","N/A","42","Raw packet data"
"167","1.140082","N/A","N/A","N/A","42","Raw packet data"
"168","1.140656","N/A","N/A","N/A","42","Raw packet data"
"169","1.141315","N/A","N/A","N/A","42","Raw packet data"
"170","1.141986","N/A","N/A","N/A","42","Raw packet data"
"171","1.142542","N/A","N/A","N/A","42","Raw packet data"
"172","1.143625","N/A","N/A","N/A","42","Raw packet data"
"173","1.145495","N/A","N/A","N/A","42","Raw packet data"
"174","1.146177","a23-35-204-54.deploy.static.akamaitechnologies.com","10.133.147.141","TCP","71","[TCP Retransmission] https(443)  >  50511 [FIN, PSH, ACK] Seq=2329 Ack=410 Win=501 Len=31"
"175","1.146856","10.133.147.141","a23-35-204-54.deploy.static.akamaitechnologies.com","TCP","40","50511  >  https(443) [RST] Seq=410 Win=0 Len=0"
"176","1.147611","N/A","N/A","N/A","42","Raw packet data"
"177","1.148016","N/A","N/A","N/A","42","Raw packet data"
"178","1.148539","N/A","N/A","N/A","42","Raw packet data"
"179","1.149144","10.133.147.141","129.213.154.50","TCP","40","50455  >  https(443) [FIN, ACK] Seq=1 Ack=1 Win=16384 Len=0"
"180","2.151986","N/A","N/A","N/A","42","Raw packet data"
"181","2.152553","N/A","N/A","N/A","42","Raw packet data"
"182","2.153722","N/A","N/A","N/A","498","Raw packet data"
"183","2.154735","N/A","N/A","N/A","498","Raw packet data"
"184","2.155883","N/A","N/A","N/A","498","Raw packet data"
"185","2.156548","N/A","N/A","N/A","498","Raw packet data"
"186","2.157722","N/A","N/A","N/A","498","Raw packet data"
"187","2.158672","N/A","N/A","N/A","498","Raw packet data"
"188","2.159534","N/A","N/A","N/A","498","Raw packet data"
"189","2.162898","N/A","N/A","N/A","498","Raw packet data"
"190","2.163268","N/A","N/A","N/A","498","Raw packet data"
"191","2.163528","N/A","N/A","N/A","498","Raw packet data"
"192","2.164296","N/A","N/A","N/A","498","Raw packet data"
"193","2.164621","N/A","N/A","N/A","498","Raw packet data"
"194","2.165169","N/A","N/A","N/A","498","Raw packet data"
"195","2.165616","N/A","N/A","N/A","498","Raw packet data"
"196","2.172487","N/A","N/A","N/A","498","Raw packet data"
"197","2.173318","N/A","N/A","N/A","498","Raw packet data"
"198","2.174178","N/A","N/A","N/A","498","Raw packet data"
"199","2.174627","N/A","N/A","N/A","498","Raw packet data"
"200","2.175299","N/A","N/A","N/A","498","Raw packet data"
"201","2.175861","N/A","N/A","N/A","498","Raw packet data"
"202","2.176472","N/A","N/A","N/A","498","Raw packet data"
"203","2.176960","N/A","N/A","N/A","498","Raw packet data"
"204","2.177584","N/A","N/A","N/A","498","Raw packet data"
"205","2.178188","N/A","N/A","N/A","498","Raw packet data"
"206","2.178860","N/A","N/A","N/A","498","Raw packet data"
"207","2.179497","N/A","N/A","N/A","498","Raw packet data"
"208","2.180026","N/A","N/A","N/A","498","Raw packet data"
"209","2.180621","N/A","N/A","N/A","498","Raw packet data"
"210","2.181984","N/A","N/A","N/A","498","Raw packet data"
"211","2.182607","N/A","N/A","N/A","498","Raw packet data"
"212","2.183226","N/A","N/A","N/A","498","Raw packet data"
"213","2.183786","N/A","N/A","N/A","498","Raw packet data"
"214","2.184375","N/A","N/A","N/A","498","Raw packet data"
"215","2.185056","N/A","N/A","N/A","498","Raw packet data"
"216","2.185689","N/A","N/A","N/A","498","Raw packet data"
"217","2.186386","N/A","N/A","N/A","498","Raw packet data"
"218","2.186878","N/A","N/A","N/A","498","Raw packet data"
"219","2.187366","N/A","N/A","N/A","498","Raw packet data"
"220","2.187938","N/A","N/A","N/A","498","Raw packet data"
"221","2.188655","N/A","N/A","N/A","498","Raw packet data"
"222","2.189744","N/A","N/A","N/A","498","Raw packet data"
"223","2.191743","N/A","N/A","N/A","498","Raw packet data"
"224","2.192329","N/A","N/A","N/A","498","Raw packet data"
"225","2.192871","N/A","N/A","N/A","498","Raw packet data"
"226","2.193515","N/A","N/A","N/A","498","Raw packet data"
"227","2.193940","N/A","N/A","N/A","498","Raw packet data"
"228","2.194507","N/A","N/A","N/A","498","Raw packet data"
"229","2.194946","N/A","N/A","N/A","498","Raw packet data"
"230","2.195494","N/A","N/A","N/A","498","Raw packet data"
"231","2.196200","N/A","N/A","N/A","498","Raw packet data"
"232","2.196617","N/A","N/A","N/A","42","Raw packet data"
"233","2.197228","N/A","N/A","N/A","42","Raw packet data"
"234","2.197756","N/A","N/A","N/A","42","Raw packet data"
"235","2.198241","N/A","N/A","N/A","42","Raw packet data"
"236","2.200221","N/A","N/A","N/A","42","Raw packet data"
"237","2.200963","N/A","N/A","N/A","42","Raw packet data"
"238","2.201587","N/A","N/A","N/A","42","Raw packet data"
"239","2.202220","N/A","N/A","N/A","42","Raw packet data"
"240","2.202821","N/A","N/A","N/A","42","Raw packet data"
"241","2.203400","N/A","N/A","N/A","42","Raw packet data"
"242","2.203940","N/A","N/A","N/A","42","Raw packet data"
"243","2.204545","N/A","N/A","N/A","42","Raw packet data"
"244","2.205112","N/A","N/A","N/A","42","Raw packet data"
"245","2.205674","N/A","N/A","N/A","42","Raw packet data"
"246","2.207166","10.133.147.141","146.57.254.144","TCP","40","50436  >  https(443) [RST, ACK] Seq=2 Ack=1 Win=16384 Len=0"
"247","2.207644","N/A","N/A","N/A","42","Raw packet data"
"248","2.208187","N/A","N/A","N/A","42","Raw packet data"
"249","2.208882","N/A","N/A","N/A","42","Raw packet data"
"250","2.209753","N/A","N/A","N/A","46","Raw packet data"
"251","3.213275","N/A","N/A","N/A","42","Raw packet data"
"252","3.213994","N/A","N/A","N/A","42","Raw packet data"
"253","3.214481","N/A","N/A","N/A","42","Raw packet data"
"254","3.215160","N/A","N/A","N/A","42","Raw packet data"
"255","3.216363","N/A","N/A","N/A","42","Raw packet data"
"256","3.217552","N/A","N/A","N/A","46","Raw packet data"
"257","3.219176","N/A","N/A","N/A","498","Raw packet data"
"258","3.220178","N/A","N/A","N/A","498","Raw packet data"
"259","3.221995","N/A","N/A","N/A","498","Raw packet data"
"260","3.222933","N/A","N/A","N/A","498","Raw packet data"
"261","3.225666","N/A","N/A","N/A","498","Raw packet data"
"262","3.226704","N/A","N/A","N/A","498","Raw packet data"
"263","3.227625","N/A","N/A","N/A","498","Raw packet data"
"264","3.228334","N/A","N/A","N/A","498","Raw packet data"
"265","3.229483","N/A","N/A","N/A","498","Raw packet data"
"266","3.230331","N/A","N/A","N/A","498","Raw packet data"
"267","3.230861","N/A","N/A","N/A","498","Raw packet data"
"268","3.232153","N/A","N/A","N/A","498","Raw packet data"
"269","3.232772","N/A","N/A","N/A","498","Raw packet data"
"270","3.233555","N/A","N/A","N/A","498","Raw packet data"
"271","3.234111","N/A","N/A","N/A","498","Raw packet data"
"272","3.234626","N/A","N/A","N/A","498","Raw packet data"
"273","3.235349","N/A","N/A","N/A","498","Raw packet data"
"274","3.235979","N/A","N/A","N/A","498","Raw packet data"
"275","3.236564","N/A","N/A","N/A","498","Raw packet data"
"276","3.239017","N/A","N/A","N/A","498","Raw packet data"
"277","3.240438","N/A","N/A","N/A","498","Raw packet data"
"278","3.241880","N/A","N/A","N/A","498","Raw packet data"
"279","3.243433","N/A","N/A","N/A","498","Raw packet data"
"280","3.243451","N/A","N/A","N/A","498","Raw packet data"
"281","3.243465","N/A","N/A","N/A","498","Raw packet data"
"282","3.243480","N/A","N/A","N/A","498","Raw packet data"
"283","3.245318","N/A","N/A","N/A","498","Raw packet data"
"284","3.246570","N/A","N/A","N/A","498","Raw packet data"
"285","3.246596","N/A","N/A","N/A","498","Raw packet data"
"286","3.246615","N/A","N/A","N/A","498","Raw packet data"
"287","3.247589","N/A","N/A","N/A","498","Raw packet data"
"288","3.248707","N/A","N/A","N/A","498","Raw packet data"
"289","3.248726","N/A","N/A","N/A","498","Raw packet data"
"290","3.250016","N/A","N/A","N/A","498","Raw packet data"
"291","3.251761","N/A","N/A","N/A","498","Raw packet data"
"292","3.252939","N/A","N/A","N/A","498","Raw packet data"
"293","3.252972","N/A","N/A","N/A","498","Raw packet data"
"294","3.254663","N/A","N/A","N/A","42","Raw packet data"
"295","3.255892","N/A","N/A","N/A","498","Raw packet data"
"296","3.255912","N/A","N/A","N/A","498","Raw packet data"
"297","3.255930","N/A","N/A","N/A","498","Raw packet data"
"298","3.257534","N/A","N/A","N/A","498","Raw packet data"
